source_id,target_id,publication_year,weight
I161318765,I1322087612,2005,2.0
I161318765,I53964585,2005,3.0
I161318765,I97018004,2005,5.0
I161318765,I1341412227,2005,4.0
I161318765,I2251713219,2005,2.0
I161318765,I27804330,2005,1.0
I161318765,I36258959,2005,5.0
I161318765,I43579087,2005,1.0
I161318765,I72090969,2005,1.0
I161318765,I63966007,2005,5.0
I161318765,I4210156583,2005,2.0
I161318765,I57206974,2005,1.0
I16391192,I86519309,2005,1.0
I16391192,I114531698,2005,1.0
I16391192,I197251160,2005,2.0
I16391192,I36258959,2005,4.0
I16391192,I57206974,2005,1.0
I16391192,I63190737,2005,1.0
I16391192,I74973139,2005,2.0
I16391192,I114090438,2005,1.0
I16391192,I34250744,2005,1.0
I16391192,I4210137370,2005,1.0
I16391192,I53964585,2005,3.0
I16391192,I40036882,2005,1.0
I16391192,I4210085935,2005,2.0
I16391192,I1341412227,2005,2.0
I16391192,I185261750,2005,1.0
I16391192,I40347166,2005,1.0
I16391192,I106118109,2005,1.0
I16391192,I114112103,2005,1.0
I16391192,I63966007,2005,3.0
I97018004,I53964585,2005,16.0
I97018004,I1341412227,2005,27.0
I97018004,I204337017,2005,11.0
I97018004,I4210156583,2005,13.0
I97018004,I135310074,2005,1.0
I97018004,I2251713219,2005,6.0
I97018004,I4210126328,2005,13.0
I97018004,I72090969,2005,2.0
I97018004,I98677209,2005,1.0
I97018004,I1341640284,2005,7.0
I97018004,I32971472,2005,1.0
I97018004,I1297971548,2005,1.0
I97018004,I4210157118,2005,2.0
I97018004,I4210114115,2005,6.0
I97018004,I95457486,2005,6.0
I97018004,I136199984,2005,2.0
I97018004,I197251160,2005,1.0
I97018004,I79576946,2005,1.0
I97018004,I174306211,2005,12.0
I97018004,I1324840837,2005,3.0
I97018004,I36258959,2005,7.0
I97018004,I12356871,2005,1.0
I97018004,I35440088,2005,4.0
I97018004,I57206974,2005,9.0
I97018004,I91203450,2005,1.0
I97018004,I4210103330,2005,3.0
I97018004,I31512782,2005,1.0
I97018004,I1283103587,2005,2.0
I97018004,I4210162280,2005,1.0
I97018004,I184558857,2005,3.0
I97018004,I140172145,2005,3.0
I97018004,I204250578,2005,3.0
I97018004,I36672615,2005,2.0
I97018004,I27804330,2005,2.0
I97018004,I4210139332,2005,1.0
I97018004,I4210156325,2005,1.0
I97018004,I150149174,2005,2.0
I97018004,I148366613,2005,2.0
I97018004,I139264467,2005,1.0
I97018004,I4210158432,2005,1.0
I97018004,I114395901,2005,3.0
I97018004,I161318765,2005,1.0
I97018004,I130440993,2005,1.0
I97018004,I86519309,2005,1.0
I97018004,I126744593,2005,1.0
I136199984,I185261750,2005,2.0
I136199984,I53964585,2005,11.0
I136199984,I219193219,2005,1.0
I136199984,I36258959,2005,2.0
I136199984,I95457486,2005,8.0
I136199984,I97018004,2005,3.0
I1341412227,I4210114115,2005,8.0
I1341412227,I174306211,2005,5.0
I1341412227,I204337017,2005,4.0
I1341412227,I184558857,2005,2.0
I1341412227,I4210160447,2005,1.0
I1341412227,I4210164495,2005,1.0
I1341412227,I2251713219,2005,2.0
I1341412227,I197347611,2005,1.0
I1341412227,I160993911,2005,1.0
I1341412227,I130440993,2005,1.0
I1341412227,I74801974,2005,1.0
I1341412227,I1342911587,2005,1.0
I1341412227,I4210085935,2005,9.0
I1341412227,I35440088,2005,3.0
I1341412227,I36258959,2005,10.0
I1341412227,I97018004,2005,4.0
I1341412227,I4210126328,2005,18.0
I1341412227,I29607241,2005,2.0
I1341412227,I4210103330,2005,1.0
I74973139,I1341412227,2005,5.0
I74973139,I57206974,2005,2.0
I74973139,I121847817,2005,1.0
I74973139,I140172145,2005,2.0
I74973139,I126744593,2005,1.0
I74973139,I66946132,2005,1.0
I74973139,I29607241,2005,2.0
I74973139,I4210103330,2005,1.0
I74973139,I162148367,2005,1.0
I74973139,I53964585,2005,7.0
I74973139,I103163165,2005,1.0
I74973139,I184558857,2005,1.0
I74973139,I204337017,2005,2.0
I74973139,I4210161954,2005,1.0
I74973139,I72090969,2005,2.0
I74973139,I118347220,2005,1.0
I74973139,I121297525,2005,1.0
I74973139,I95457486,2005,6.0
I74973139,I4210085935,2005,4.0
I74973139,I4210108985,2005,1.0
I74973139,I1322087612,2005,1.0
I74973139,I12356871,2005,1.0
I74973139,I19370010,2005,1.0
I74973139,I31512782,2005,1.0
I74973139,I90023481,2005,1.0
I74973139,I1283103587,2005,5.0
I74973139,I91203450,2005,1.0
I74973139,I2251713219,2005,1.0
I74973139,I63966007,2005,6.0
I4210161954,I63966007,2005,2.0
I4210103330,I63966007,2005,4.0
I4210161954,I36258959,2005,5.0
I4210103330,I36258959,2005,2.0
I4210161954,I173498003,2005,1.0
I4210103330,I173498003,2005,1.0
I4210161954,I97018004,2005,11.0
I4210103330,I97018004,2005,12.0
I4210161954,I53964585,2005,4.0
I4210103330,I53964585,2005,3.0
I4210161954,I123900574,2005,1.0
I4210103330,I123900574,2005,1.0
I4210161954,I1290206253,2005,1.0
I4210103330,I1290206253,2005,1.0
I4210161954,I1283103587,2005,1.0
I4210103330,I1283103587,2005,1.0
I4210161954,I1341412227,2005,5.0
I4210103330,I1341412227,2005,8.0
I4210161954,I4210156583,2005,1.0
I4210103330,I4210156583,2005,2.0
I4210161954,I95457486,2005,2.0
I4210103330,I95457486,2005,2.0
I36258959,I204337017,2005,4.0
I36258959,I4210144804,2005,1.0
I36258959,I4210103330,2005,1.0
I36258959,I131729948,2005,1.0
I36258959,I35440088,2005,5.0
I36258959,I53964585,2005,10.0
I36258959,I185261750,2005,2.0
I36258959,I29607241,2005,1.0
I36258959,I63966007,2005,19.0
